run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1
149,PASTD,14.432,3.84,0.3,5.0,30.0,7.13,2.34,12.46,5.87,8.88,5.89
150,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
151,PASTD,13.76,3.17,0.3,10.0,90.0,10.14,6.92,22.99,13.75,10.4,8.11
152,PASTD,13.568,3.87,0.3,10.0,120.0,6.73,10.86,13.8,22.01,7.86,11.23
153,PASTD,13.088,2.89,0.3,10.0,20.0,-15.66,3.93,0.52,5.06,-12.8,11.52
154,PASTD,14.816,3.86,0.3,10.0,50.0,8.19,-0.55,18.25,9.66,8.71,0.33
155,PASTD,12.8,3.17,0.3,10.0,80.0,7.89,9.09,17.1,20.55,8.52,9.45
156,PASTD,12.416,3.29,0.3,10.0,120.0,9.05,4.28,20.28,15.32,9.43,4.77
157,PASTD,15.36,3.9,0.3,10.0,60.0,8.19,-4.6,21.34,1.44,8.44,-1.01
158,PASTD,18.976,6.21,0.3,10.0,110.0,1.76,8.27,9.97,14.77,2.89,9.52
159,PASTD,14.4,2.82,0.3,10.0,140.0,7.07,6.75,18.86,15.99,7.43,7.41
160,PASTD,13.312,3.65,0.3,10.0,40.0,8.15,2.56,16.14,8.67,9.0,4.33
161,PASTD,16.096,5.07,0.3,10.0,30.0,7.93,1.95,13.54,7.74,9.52,3.96
162,PASTD,15.136,3.89,0.3,10.0,40.0,7.35,1.12,17.22,6.04,7.9,3.77
163,PASTD,12.32,3.12,0.3,10.0,50.0,-7.3,8.55,-0.28,14.42,-3.18,10.0
164,PASTD,14.112,3.55,0.3,10.0,50.0,-12.04,7.15,-9.9,13.68,2.38,8.43
165,PASTD,14.816,3.77,0.3,10.0,140.0,4.79,5.14,14.68,10.41,5.4,7.04
166,PASTD,15.456,4.65,0.3,10.0,70.0,8.09,5.74,14.5,16.98,9.36,6.16
167,PASTD,16.576,5.02,0.3,10.0,130.0,5.86,4.29,20.22,8.76,6.06,6.76
168,PASTD,13.216,3.68,0.3,10.0,50.0,0.02,5.69,2.55,18.46,5.49,5.99
169,PASTD,11.552,3.09,0.3,10.0,90.0,5.55,8.14,15.08,12.55,6.2,10.32
170,PASTD,12.064,3.64,0.3,10.0,30.0,4.17,8.1,8.52,16.01,6.74,8.97
171,PASTD,10.72,2.89,0.3,10.0,50.0,7.53,8.07,13.46,14.35,9.0,9.39
172,PASTD,14.208,2.7,0.3,10.0,20.0,-18.51,-0.27,0.18,1.74,-15.53,6.27
173,PASTD,11.584,2.95,0.3,10.0,40.0,7.34,-0.54,22.72,4.15,7.49,2.68
174,PASTD,13.408,3.58,0.3,10.0,140.0,7.37,-3.01,19.41,4.37,7.7,-0.79
175,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
176,PASTD,14.432,3.93,0.3,30.0,60.0,10.37,9.25,20.63,13.67,10.84,11.39
177,PASTD,16.064,5.28,0.3,30.0,110.0,11.82,6.6,17.38,9.99,13.31,9.67
178,PASTD,13.664,3.34,0.3,30.0,90.0,11.59,11.29,22.52,18.14,11.98,12.36
179,PASTD,13.728,4.2,0.3,30.0,60.0,12.45,10.68,23.89,18.08,12.8,11.62
180,PASTD,14.464,3.5,0.3,30.0,100.0,12.56,9.85,23.75,17.07,12.92,10.84
181,PASTD,14.496,3.68,0.3,30.0,160.0,10.33,2.73,23.43,5.52,10.57,7.04
182,PASTD,14.176,4.27,0.3,30.0,130.0,7.51,8.66,18.9,12.09,7.89,11.55
183,PASTD,14.56,3.72,0.3,30.0,70.0,11.46,2.89,24.13,5.86,11.72,6.93
184,PASTD,13.888,3.87,0.3,30.0,30.0,8.19,6.39,12.88,14.38,10.21,7.3
185,PASTD,15.072,3.91,0.3,30.0,90.0,11.74,10.21,24.98,16.11,11.96,11.61
186,PASTD,10.624,2.18,0.3,30.0,90.0,12.54,9.12,25.16,15.89,12.8,10.26
187,PASTD,15.168,4.05,0.3,30.0,80.0,10.19,-4.87,23.34,-0.93,10.43,0.88
188,PASTD,14.592,3.85,0.3,30.0,80.0,7.54,12.79,15.29,18.56,8.47,14.19
189,PASTD,14.24,3.53,0.3,30.0,50.0,9.93,10.94,17.55,20.6,10.83,11.47
190,PASTD,12.704,3.46,0.3,30.0,80.0,9.56,8.88,17.49,16.35,10.39,9.83
191,PASTD,14.24,4.33,0.3,30.0,170.0,11.97,6.29,23.37,14.17,12.31,7.23
192,PASTD,14.624,4.03,0.3,30.0,70.0,12.96,10.29,21.63,19.44,13.62,10.9
193,PASTD,16.16,4.87,0.3,30.0,30.0,2.64,11.86,7.81,24.15,4.89,12.14
194,PASTD,13.28,3.92,0.3,30.0,100.0,12.8,8.2,23.04,14.22,13.26,9.61
195,PASTD,13.824,3.31,0.3,30.0,130.0,11.35,12.17,18.67,20.56,12.3,12.89
196,PASTD,11.616,2.39,0.3,30.0,30.0,5.18,8.65,8.15,16.93,8.86,9.43
197,PASTD,14.944,3.58,0.3,30.0,130.0,7.92,8.06,18.75,12.5,8.35,10.24
198,PASTD,16.096,4.76,0.3,30.0,60.0,11.31,11.13,18.4,20.99,12.31,11.63
199,PASTD,16.032,5.1,0.3,30.0,50.0,7.7,13.54,15.87,24.15,8.53,13.95
