run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1,sar_spk0,sar_spk1,sdr_mean,sir_mean,sar_mean
188,PASTD,14.592,3.85,0.3,30.0,80.0,7.54,12.79,15.29,18.56,8.47,14.19,10.165,16.924999999999997,11.33
189,PASTD,14.24,3.53,0.3,30.0,50.0,9.93,10.94,17.55,20.6,10.83,11.47,10.434999999999999,19.075000000000003,11.15
190,PASTD,12.704,3.46,0.3,30.0,80.0,9.56,8.88,17.49,16.35,10.39,9.83,9.22,16.92,10.11
191,PASTD,14.24,4.33,0.3,30.0,170.0,11.97,6.29,23.37,14.17,12.31,7.23,9.13,18.77,9.77
192,PASTD,14.624,4.03,0.3,30.0,70.0,12.96,10.29,21.63,19.44,13.62,10.9,11.625,20.535,12.26
194,PASTD,13.28,3.92,0.3,30.0,100.0,12.8,8.2,23.04,14.22,13.26,9.61,10.5,18.63,11.434999999999999
195,PASTD,13.824,3.31,0.3,30.0,130.0,11.35,12.17,18.67,20.56,12.3,12.89,11.76,19.615000000000002,12.595
197,PASTD,14.944,3.58,0.3,30.0,130.0,7.92,8.06,18.75,12.5,8.35,10.24,7.99,15.625,9.295
198,PASTD,16.096,4.76,0.3,30.0,60.0,11.31,11.13,18.4,20.99,12.31,11.63,11.22,19.695,11.97
199,PASTD,16.032,5.1,0.3,30.0,50.0,7.7,13.54,15.87,24.15,8.53,13.95,10.62,20.009999999999998,11.239999999999998
