run_idx,method,wav_length_sec,time_sec,T60,SNR_diffuse,mean_separation_deg,sdr_spk0,sdr_spk1,sir_spk0,sir_spk1
2077,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2077,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2078,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2078,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2079,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2079,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2080,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2080,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2081,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2081,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2082,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2082,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2083,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2083,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2084,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2084,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2085,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2085,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2086,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2086,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2087,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2087,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2088,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2088,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2089,GEVD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2089,PASTD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
